Remove Pin=U11A-18 From Net=MCU_PWR_EN
Change Component Designator: OldDesignator=C89 NewDesignator=C90
Change Component Designator: OldDesignator=C90 NewDesignator=C91
Change Component Designator: OldDesignator=C91 NewDesignator=C23
Change Component Designator: OldDesignator=C92 NewDesignator=C24
Change Component Designator: OldDesignator=C93 NewDesignator=C92
Change Component Designator: OldDesignator=C98 NewDesignator=C46
Change Component Designator: OldDesignator=C99 NewDesignator=C98
Change Component Designator: OldDesignator=C100 NewDesignator=C99
Change Component Designator: OldDesignator=C101 NewDesignator=C100
Change Component Designator: OldDesignator=C102 NewDesignator=C101
Change Component Designator: OldDesignator=C103 NewDesignator=C102
Change Component Designator: OldDesignator=C104 NewDesignator=C103
Change Component Designator: OldDesignator=C105 NewDesignator=C104
Change Component Designator: OldDesignator=D2 NewDesignator=D4
Change Component Designator: OldDesignator=D3 NewDesignator=D5
Change Component Designator: OldDesignator=D4 NewDesignator=D2
Change Component Designator: OldDesignator=D5 NewDesignator=D6
Change Component Designator: OldDesignator=D6 NewDesignator=D7
Change Component Designator: OldDesignator=D7 NewDesignator=D8
Change Component Designator: OldDesignator=D8 NewDesignator=D3
Change Component Designator: OldDesignator=D10 NewDesignator=D12
Change Component Designator: OldDesignator=D12 NewDesignator=D10
Change Component Designator: OldDesignator=F1 NewDesignator=F2
Change Component Designator: OldDesignator=FB2 NewDesignator=FB5
Change Component Designator: OldDesignator=FLASH_SCLK1 NewDesignator=FLASH_SCLK
Change Component Designator: OldDesignator=FLASH_SDO1 NewDesignator=FLASH_SDO
Change Component Designator: OldDesignator=L1 NewDesignator=L2
Change Component Designator: OldDesignator=L2 NewDesignator=L3
Change Component Designator: OldDesignator=L3 NewDesignator=L1
Change Component Designator: OldDesignator=L5 NewDesignator=L8
Change Component Designator: OldDesignator=L6 NewDesignator=L9
Change Component Designator: OldDesignator=L7 NewDesignator=L11
Change Component Designator: OldDesignator=L8 NewDesignator=L10
Change Component Designator: OldDesignator=L9 NewDesignator=L17
Change Component Designator: OldDesignator=L10 NewDesignator=L5
Change Component Designator: OldDesignator=L11 NewDesignator=L14
Change Component Designator: OldDesignator=L14 NewDesignator=L15
Change Component Designator: OldDesignator=L15 NewDesignator=L16
Change Component Designator: OldDesignator=L16 NewDesignator=L6
Change Component Designator: OldDesignator=P1 NewDesignator=P2
Change Component Designator: OldDesignator=P2 NewDesignator=P1
Change Component Designator: OldDesignator=Q1 NewDesignator=Q6
Change Component Designator: OldDesignator=Q4 NewDesignator=Q1
Change Component Designator: OldDesignator=Q4 NewDesignator=Q1
Change Component Designator: OldDesignator=Q6 NewDesignator=Q7
Change Component Designator: OldDesignator=R1 NewDesignator=R5
Change Component Designator: OldDesignator=R2 NewDesignator=R7
Change Component Designator: OldDesignator=R3 NewDesignator=R1
Change Component Designator: OldDesignator=R4 NewDesignator=R76
Change Component Designator: OldDesignator=R5 NewDesignator=R17
Change Component Designator: OldDesignator=R6 NewDesignator=R18
Change Component Designator: OldDesignator=R7 NewDesignator=R9
Change Component Designator: OldDesignator=R8 NewDesignator=R10
Change Component Designator: OldDesignator=R9 NewDesignator=R8
Change Component Designator: OldDesignator=R10 NewDesignator=R11
Change Component Designator: OldDesignator=R11 NewDesignator=R77
Change Component Designator: OldDesignator=R16 NewDesignator=R78
Change Component Designator: OldDesignator=R17 NewDesignator=R3
Change Component Designator: OldDesignator=R18 NewDesignator=R16
Change Component Designator: OldDesignator=R19 NewDesignator=R2
Change Component Designator: OldDesignator=R20 NewDesignator=R19
Change Component Designator: OldDesignator=R23 NewDesignator=R24
Change Component Designator: OldDesignator=R24 NewDesignator=R25
Change Component Designator: OldDesignator=R25 NewDesignator=R28
Change Component Designator: OldDesignator=R26 NewDesignator=R29
Change Component Designator: OldDesignator=R27 NewDesignator=R4
Change Component Designator: OldDesignator=R28 NewDesignator=R30
Change Component Designator: OldDesignator=R29 NewDesignator=R20
Change Component Designator: OldDesignator=R30 NewDesignator=R23
Change Component Designator: OldDesignator=R33 NewDesignator=R6
Change Component Designator: OldDesignator=R34 NewDesignator=R33
Change Component Designator: OldDesignator=R41 NewDesignator=R26
Change Component Designator: OldDesignator=R42 NewDesignator=R53
Change Component Designator: OldDesignator=R43 NewDesignator=R151
Change Component Designator: OldDesignator=R44 NewDesignator=R64
Change Component Designator: OldDesignator=R45 NewDesignator=R42
Change Component Designator: OldDesignator=R46 NewDesignator=R44
Change Component Designator: OldDesignator=R47 NewDesignator=R185
Change Component Designator: OldDesignator=R48 NewDesignator=R41
Change Component Designator: OldDesignator=R49 NewDesignator=R45
Change Component Designator: OldDesignator=R50 NewDesignator=R46
Change Component Designator: OldDesignator=R51 NewDesignator=R43
Change Component Designator: OldDesignator=R52 NewDesignator=R47
Change Component Designator: OldDesignator=R53 NewDesignator=R118
Change Component Designator: OldDesignator=R54 NewDesignator=R69
Change Component Designator: OldDesignator=R55 NewDesignator=R59
Change Component Designator: OldDesignator=R56 NewDesignator=R60
Change Component Designator: OldDesignator=R57 NewDesignator=R61
Change Component Designator: OldDesignator=R58 NewDesignator=R49
Change Component Designator: OldDesignator=R59 NewDesignator=R62
Change Component Designator: OldDesignator=R60 NewDesignator=R51
Change Component Designator: OldDesignator=R61 NewDesignator=R63
Change Component Designator: OldDesignator=R62 NewDesignator=R50
Change Component Designator: OldDesignator=R63 NewDesignator=R48
Change Component Designator: OldDesignator=R64 NewDesignator=R65
Change Component Designator: OldDesignator=R65 NewDesignator=R66
Change Component Designator: OldDesignator=R66 NewDesignator=R55
Change Component Designator: OldDesignator=R67 NewDesignator=R54
Change Component Designator: OldDesignator=R68 NewDesignator=R56
Change Component Designator: OldDesignator=R69 NewDesignator=R57
Change Component Designator: OldDesignator=R70 NewDesignator=R58
Change Component Designator: OldDesignator=R78 NewDesignator=R67
Change Component Designator: OldDesignator=R79 NewDesignator=R68
Change Component Designator: OldDesignator=R80 NewDesignator=R70
Change Component Designator: OldDesignator=R81 NewDesignator=R79
Change Component Designator: OldDesignator=SB1 NewDesignator=SB
Change Component Designator: OldDesignator=T2 NewDesignator=T3
Change Component Designator: OldDesignator=T3 NewDesignator=T5
Change Component Designator: OldDesignator=T5 NewDesignator=T8
Change Component Designator: OldDesignator=T6 NewDesignator=T7
Change Component Designator: OldDesignator=U2 NewDesignator=U3
Change Component Designator: OldDesignator=U3 NewDesignator=U18
Change Component Designator: OldDesignator=U4 NewDesignator=U5
Change Component Designator: OldDesignator=U5 NewDesignator=U2
Change Component Designator: OldDesignator=U6 NewDesignator=U7
Change Component Designator: OldDesignator=U7 NewDesignator=U8
Change Component Designator: OldDesignator=U8 NewDesignator=U10
Change Component Designator: OldDesignator=U10 NewDesignator=U11
Change Component Designator: OldDesignator=U11 NewDesignator=U13
Change Component Designator: OldDesignator=U11 NewDesignator=U13
Change Component Designator: OldDesignator=U11 NewDesignator=U13
Change Component Designator: OldDesignator=U13 NewDesignator=U6
Change Component Designator: OldDesignator=U14 NewDesignator=U30
Change Component Designator: OldDesignator=U15 NewDesignator=U17
Change Component Designator: OldDesignator=U17 NewDesignator=U21
Change Component Designator: OldDesignator=U18 NewDesignator=U22
Change Component Designator: OldDesignator=U20 NewDesignator=U14
Change Component Designator: OldDesignator=U21 NewDesignator=U20
Change Component Designator: OldDesignator=USB1 NewDesignator=USB
Change Component Designator: OldDesignator=V1 NewDesignator=V2
Change Component Designator: OldDesignator=V2 NewDesignator=V3
Change Component Designator: OldDesignator=V3 NewDesignator=V1
Change Component Designator: OldDesignator=Y1 NewDesignator=Y2
Change Component Designator: OldDesignator=Y2 NewDesignator=Y3
Change Component Designator: OldDesignator=Y3 NewDesignator=Y4
